UiD,DADA_Id,Plate,PosNum,PosWell,Samples,#Pots,Lines,Genotypes,Background,Fractions,Tray,Group,Rep
42,P02.bc59,2,8,C,42L,42,Line 6,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #1-2",WS,Leaf,2,10,1
165,P02.bc60,2,8,D,15S,15,phr1,phr1,Col-0,Soil,4,6,1
197,P02.bc61,2,8,E,47S,47,Line 5,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #2-3",WS,Soil,4,11,1
41,P02.bc62,2,8,F,41L,41,Line 6,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #1-2",WS,Leaf,2,10,1
76,P02.bc63,2,8,G,4R,4,Col-0,Col-0,Col-0,Root,4,1,1
199,P02.bc64,2,8,H,49S,49,Line 4,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 3-1",WS,Soil,4,9,1
186,P02.bc65,2,9,A,36S,36,Line 7,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 2-1",WS,Soil,3,8,1
44,P02.bc66,2,9,B,44L,44,Line 5,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #2-3",WS,Leaf,3,11,1
31,P02.bc67,2,9,C,31L,31,Line 7,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 2-1",WS,Leaf,1,8,1
158,P02.bc68,2,9,D,8S,8,phf1,phf1,Col-0,Soil,1,5,1
89,P02.bc69,2,9,E,17R,17,phr1,phr1,Col-0,Root,3,6,1
100,P02.bc70,2,9,F,28R,28,phr1/phl1,phr1/phl1,Col-0,Root,4,7,1
218,P02.bc71,2,9,G,68S,68,WS,WS,WS,Soil,4,2,1
119,P02.bc72,2,9,H,47R,47,Line 5,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #2-3",WS,Root,4,11,1
4,P02.bc73,2,10,A,4L,4,Col-0,Col-0,Col-0,Leaf,4,1,1
198,P02.bc74,2,10,B,48S,48,Line 5,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #2-3",WS,Soil,1,11,1
155,P02.bc75,2,10,C,5S,5,Col-0,Col-0,Col-0,Soil,4,1,1
55,P02.bc76,2,10,D,55L,55,Line 3,Si81psl1,Col-0,Leaf,4,4,1
83,P02.bc77,2,10,E,11R,11,phf1,phf1,Col-0,Root,4,5,1
194,P02.bc78,2,10,F,44S,44,Line 5,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #2-3",WS,Soil,3,11,1
29,P02.bc79,2,10,G,29L,29,phr1/phl1,phr1/phl1,Col-0,Leaf,1,7,1
57,P02.bc80,2,10,H,57L,57,Line 3,Si81psl1,Col-0,Leaf,2,4,1
86,P02.bc81,2,11,A,14R,14,phr1,phr1,Col-0,Root,1,6,1
211,P02.bc82,2,11,B,61S,61,Line 2,"pht1,1;1,4",WS,Soil,4,13,1
150,P02.bc83,2,11,C,78S,78,Bulk soil,Bulk soil,Bulk soil,Soil,3,17,1
216,P02.bc84,2,11,D,66S,66,Line 2,"pht1,1;1,4",WS,Soil,2,13,1
128,P02.bc85,2,11,E,56R,56,Line 3,Si81psl1,Col-0,Root,3,4,1
154,P02.bc86,2,11,F,4S,4,Col-0,Col-0,Col-0,Soil,4,1,1
71,P02.bc87,2,11,G,71L,71,WS,WS,WS,Leaf,4,2,1
180,P02.bc88,2,11,H,30S,30,phr1/phl1,phr1/phl1,Col-0,Soil,3,7,1
164,P02.bc89,2,12,A,14S,14,phr1,phr1,Col-0,Soil,1,6,1
153,P02.bc90,2,12,B,3S,3,Col-0,Col-0,Col-0,Soil,1,1,1
77,P02.bc91,2,12,C,5R,5,Col-0,Col-0,Col-0,Root,4,1,1
45,P02.bc92,2,12,D,45L,45,Line 5,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #2-3",WS,Leaf,1,11,1
51,P02.bc93,2,12,E,51L,51,Line 4,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 3-1",WS,Leaf,2,9,1
10,P02.bc94,2,12,F,10L,10,phf1,phf1,Col-0,Leaf,4,5,1
84,P02.bc95,2,12,G,12R,12,phf1,phf1,Col-0,Root,1,5,1
